algorithm,rps,request_id,arrival_time,start_time,finish_time,latency,waiting_time,service_time,size,steps,executed_steps,dispatch_epoch
fcfs,0.05,0,0.0,0.0007,11.0996,11.0996,0.0007,11.099,1024x1024,25,25,0
fcfs,0.05,1,20.0076,20.0083,22.5131,2.5054,0.0007,2.5048,512x512,20,20,0
fcfs,0.05,2,40.0168,40.0176,44.8116,4.7948,0.0008,4.794,768x768,20,20,0
fcfs,0.05,3,60.0268,61.1703,65.9428,5.916,1.1435,4.7725,768x768,20,20,0
fcfs,0.05,4,80.0364,80.0371,91.0912,11.0548,0.0007,11.0541,1024x1024,25,25,0
fcfs,0.05,5,100.0405,100.041,111.1074,11.067,0.0005,11.0664,1024x1024,25,25,0
fcfs,0.05,6,120.0444,120.045,155.9722,35.9279,0.0007,35.9272,1536x1536,35,35,0
fcfs,0.05,7,140.0585,167.0331,169.5221,29.4635,26.9746,2.4889,512x512,20,20,0
fcfs,0.05,8,160.0592,180.5779,191.6295,31.5703,20.5187,11.0515,1024x1024,25,25,0
fcfs,0.05,9,180.0674,227.5345,230.0241,49.9567,47.4671,2.4896,512x512,20,20,0
fcfs,0.05,10,200.0706,232.5124,237.2919,37.2213,32.4418,4.7795,768x768,20,20,0
fcfs,0.05,11,220.0836,248.3602,259.6209,39.5373,28.2766,11.2607,1024x1024,25,25,0
fcfs,0.05,12,240.084,262.1103,264.6016,24.5176,22.0264,2.4912,512x512,20,20,0
fcfs,0.05,13,260.4459,269.387,274.1688,13.7229,8.9411,4.7818,768x768,20,20,0
fcfs,0.05,14,280.0995,280.1003,291.1772,11.0777,0.0008,11.0769,1024x1024,25,25,0
fcfs,0.05,15,300.1035,300.1042,311.179,11.0755,0.0007,11.0748,1024x1024,25,25,0
fcfs,0.05,16,320.1074,320.1081,324.8865,4.7791,0.0007,4.7784,768x768,20,20,0
fcfs,0.05,17,340.1182,345.4585,356.4971,16.3789,5.3403,11.0386,1024x1024,25,25,0
