algorithm,rps,request_id,arrival_time,start_time,finish_time,latency,waiting_time,service_time,size,steps,executed_steps,dispatch_epoch
p95_bucket_sjf_norm,0.125,0,0.0,0.0007,11.1041,11.1041,0.0007,11.1034,1024x1024,25,25,1
p95_bucket_sjf_norm,0.125,1,8.0129,11.1044,13.594,5.5811,3.0915,2.4896,512x512,20,20,1
p95_bucket_sjf_norm,0.125,2,16.0129,16.0142,20.8223,4.8094,0.0013,4.8081,768x768,20,20,1
p95_bucket_sjf_norm,0.125,3,24.0166,24.0173,28.8319,4.8153,0.0007,4.8145,768x768,20,20,1
p95_bucket_sjf_norm,0.125,4,32.0172,32.0181,43.0782,11.061,0.0009,11.0601,1024x1024,25,25,1
p95_bucket_sjf_norm,0.125,5,40.0274,43.0785,54.1252,14.0978,3.0511,11.0468,1024x1024,25,25,1
p95_bucket_sjf_norm,0.125,7,56.0287,64.7085,67.5979,11.5692,8.6798,2.8894,512x512,20,20,1
p95_bucket_sjf_norm,0.125,8,64.0312,67.5984,78.6621,14.6308,3.5671,11.0637,1024x1024,25,25,1
p95_bucket_sjf_norm,0.125,9,72.0355,78.6624,81.1563,9.1209,6.6269,2.4939,512x512,20,20,1
p95_bucket_sjf_norm,0.125,10,80.0358,81.1566,85.9432,5.9074,1.1208,4.7866,768x768,20,20,1
p95_bucket_sjf_norm,0.125,12,96.0473,96.5156,99.4095,3.3622,0.4683,2.8939,512x512,20,20,1
p95_bucket_sjf_norm,0.125,6,48.0279,54.1256,113.3777,65.3498,6.0977,59.2521,1536x1536,35,35,3
p95_bucket_sjf_norm,0.125,13,104.0531,113.3781,118.1697,14.1166,9.325,4.7916,768x768,20,20,1
p95_bucket_sjf_norm,0.125,11,88.0369,118.1701,129.2478,41.2109,30.1332,11.0777,1024x1024,25,25,1
p95_bucket_sjf_norm,0.125,16,128.071,129.248,134.0343,5.9633,1.177,4.7863,768x768,20,20,1
p95_bucket_sjf_norm,0.125,14,112.061,134.0347,145.1115,33.0505,21.9737,11.0768,1024x1024,25,25,1
p95_bucket_sjf_norm,0.125,15,120.0615,145.1118,156.1884,36.127,25.0503,11.0766,1024x1024,25,25,1
p95_bucket_sjf_norm,0.125,19,152.0831,156.1888,158.6852,6.6021,4.1057,2.4964,512x512,20,20,1
p95_bucket_sjf_norm,0.125,17,136.0722,158.6855,169.7657,33.6934,22.6133,11.0802,1024x1024,25,25,1
p95_bucket_sjf_norm,0.125,18,144.0815,169.766,180.9368,36.8554,25.6845,11.1709,1024x1024,25,25,1
